name,address,lat,lon
Subway,"380 Dalhousie St, Ottawa, ON, K1N 9L3",45.4274,-75.6899
Subway,"50 Rideau Street, FC010, Rideau Centre, Ottawa, ON, K1N 9J8",45.4255,-75.692
Subway,"180 Elgin Street, Ottawa, ON, K2P 2K3",45.4197,-75.692
Subway,"1100 Boulevard Maloney Ouest, Unit 907, Les Promenades Gatineau, Gatineau, QC, J8T3G6",45.4765,-75.697
Subway,"110 Slater Street, Urbandale Building, Ottawa, ON, K1P 5H6",45.4207,-75.6963
Subway,"2678 Alta Vista Dr, Alta Bank Shopping Centre, Ottawa, ON, K1V 7T4",45.373,-75.664
Subway,"864 Bank St, Ottawa, ON, K1S 3W3",45.4011,-75.6875
Subway,"414 Bank St, Unit 3, Elm Plaza, Ottawa, ON, K2P 1Y8",45.4124,-75.6939
Subway,"212-2277 Riverside Dr, Billings Bridge Plaza, Ottawa, ON, K1H 7X6",45.3857,-75.6773
Subway,"25 Chemin de la Savane, Gatineau, QC, J8T 8A4",45.4748,-75.7027
Subway,"136 Sparks St, 131 Queen Street Building, Ottawa, ON, K1P 5B6",45.4222,-75.6988
Subway,"4505 Bank St, Gloucester, ON, K1T 3W5",45.3314,-75.5996
Subway,"455 Greber Blvd., Unit A01003A, Place Nelligan S/C, Gatineau, QC, J8T 5T7",45.4867,-75.7013
Subway,"2515 Bank Street, Unit 7, Southgate Shopping Centre, Ottawa, ON, K1V 8R9",45.3546,-75.6455
Subway,"106 Bank St, Ottawa, ON, K1P 5N4",45.42,-75.7005
Subway,"2056 Bank Street, Home Depot #7158, Ottawa, ON, K1V 7Z8",45.3643,-75.6605
Subway,"407 Laurier Avenue West, Unit 51, Minto Place Atrium Concourse, Ottawa, ON, K1R 7Y2",45.4177,-75.7022
Subway,"200 Promenade du Portage, Place du Centre, Gatineau, QC, J8X 4B7",45.4275,-75.7144
Subway,"40 Promenade Du Portage, Hull, QC, J8X 2J7",45.425,-75.7196
Subway,"572 A Bronson Ave., Ottawa, ON, K1R 6K3",45.4054,-75.7026
Subway,"25 Blvd Sacre-Coeur, Quickie C-Store, Gatineau, QC, J8X 4C5",45.4368,-75.7203
Subway,"1068 Wellington Street, Ottawa, ON, K1Y 2Y3",45.4035,-75.7247
Subway,"177 boul. St-Joseph, Gatineau, QC, J8Y 3X1",45.4328,-75.7337
Subway,"1620 Scott Street, Unit 26, Holland Cross, Ottawa, ON, K1Y2Y3",45.4037,-75.734
Subway,"320 St Joseph Blvd, Suite 116, Les Galeries de Hull, Gatineau, QC, J8Y 3Y8",45.4411,-75.7328
Subway,"438 Boul. St-Joseph, Gatineau, QC, J8Y3Y7",45.4447,-75.7322
Subway,"376 Boulevard Alexandre-Tache, Gatineau, QC, J9A 1M5",45.4217,-75.7459
Subway,"71 Blvd. de la Gappe, Store #J001, RioCan Centre La Gappe, Gatineau, QC, J8T 0B5",45.465,-75.7174
Subway,"1423 Carling Ave, Unit 1423, Hampton Park Plaza, Ottawa, ON, K1Z 7L6",45.3861,-75.7403
Subway,"20 Du Plateau Blvd, Carrefour Du Plateau, Gatineau, QC, J9A 3A2",45.4359,-75.7663
Subway,"12-780 Baseline Rd, Zena's Fisher Heights Plaza, Ottawa, ON, K2C 3V8",45.3709,-75.7174
Subway,"34 Mont Bleu, Quickie Convenience, Hull, QC, J8Z 1J1",45.4623,-75.7466
Subway,"1-1030 boul St-Joseph, Gatineau Quebec, QC, J8Z 1T3",45.4688,-75.7376
Subway,"207 Boul Mont Blue, Hull, QC, J8Z 3G3",45.4605,-75.7674
Subway,"1896 Prince of Wales Drive, Fisher & 16th Plaza, Ottawa, ON, K2C 3W9",45.3532,-75.7043
Subway,"911 Richmond Rd, Unit H, Ottawa, ON, K2A 0G8",45.3781,-75.7744
Subway,"1523 Merivale Rd., Ottawa, ON, K2G 3J3",45.3567,-75.7365
Subway,"300 Earl Grey Dr, Kanata Centrum Shp Centre, Kanata, ON, K2T 1B9",45.3117,-75.9158
Subway,"500 Hazeldean Rd, Suite# 114, Kanata, ON, K2L 2B5",45.2931,-75.894
Subway,"329 March Road, Unit 68, Kanata, ON, K2K 2E1",45.3348,-75.9077
Subway,"8555 Campeau Drive, Suite 595, Tanger Outlets, Ottawa, ON, K2T1B7",45.2984,-75.9369
Subway,"700 Eagleson Rd, Unit A0111A, Eagleson Place, Kanata, ON, K2M 2G9",45.2871,-75.8675
Subway,"5357 Fernbank Road, Ottawa, ON, K2S 1B6",45.2744,-75.8691
Subway,"700 March Rd, Unit P, Kanata, ON, K2K 2V9",45.3499,-75.9246
Subway,"2090 Robertson Road, Unit Q, Nepean, ON, K2H 8V5",45.3208,-75.8354
Subway,"1261 Stittsville Main St, Unit 2, The Shops of Main St Shop Ctr, Stittsville, ON, K2S 2E4",45.2673,-75.9288
Subway,"1110 Carp Road, Unit 140, Plaza, Stittsville, ON, K2S0T2",45.2683,-75.942
Subway,"100 Bayshore Drive, FC04, Bayshore Shopping Centre, Ottawa, ON, K2B 8C1",45.3477,-75.8064
Subway,"250 Greenbank Rd, Unit 11B, Greenbank Hunt Club Centre, Nepean, ON, K2H 8X4",45.3263,-75.7802
Subway,"2745 Iris Street, Ottawa, ON, K2C 3V5",45.348,-75.7868
Subway,"4285 Strandherd Drive, Trinity Common at Citigate, Ottawa, ON, K2J 6E5",45.27,-75.7809
Subway,"420 Boul. Wilfrid-Lavigne, Place Lavigne, Gatineau, QC, J9J 3A4",45.3987,-75.8361
Subway,"900 Greenbank Road, Unit #1013, Barrhaven Mall, Ottawa, ON, K2J 1S8",45.285,-75.7567
Subway,"2301 B  Navaho Dr, College Square, Nepean, ON, K2G 6Z1",45.3529,-75.7562
Subway,"2121 Carling Ave, Store #56, Carlingwood Shopping Centre, Ottawa, ON, K2A 1R5",45.3708,-75.7694
Subway,"3777 Strandherd Dr, Barrhaven Town Centre, Nepean, ON, K2J 4B1",45.2684,-75.7503
