name,address,lat,lon
Starbucks,"409 MacKay Street, Ottawa, ON K1M 2C5",45.4393,-75.677235
Starbucks,"100 McArthur Ave, Ottawa, ON K1L 6P9",45.430276,-75.664935
Starbucks,"1100 Blvd Maloney O, Gatineau, QC J8T 6G3",45.476179,-75.697501
Starbucks,"100 Trainyards Drive,  Unit 14A, Ottawa, ON K1G 3S2",45.413151,-75.646894
Starbucks,"380 Coventry Road, Ottawa, ON K1K 2C6",45.42109,-75.649234
Starbucks,"1200 St. Laurent Blvd., 541A, Ottawa, ON K1K 3B8",45.42339,-75.636936
Starbucks,"1910 St. Laurent Blvd, Unit A/B, Ottawa, ON K1G 1A4",45.39899,-75.623117
Starbucks,"4791 Bank Street, Ottawa, ON K1T 3W7",45.317947,-75.590932
Starbucks,"1459 Ogilvie Road, Unit #4, Ottawa, ON K1J 8K6",45.432212,-75.617469
Starbucks,"1615 Orleans Blvd, Ottawa, ON K1C 7E2",45.461361,-75.523809
Starbucks,"110 Place d'Orleans Dr, Ottawa, ON K1C 2L9",45.478182,-75.516631
Starbucks,"2025 Mer-Bleue Road, Orleans, ON K4A 3T9",45.455602,-75.503844
Starbucks,"4240 Innes Road, Orleans, ON K4A 5E6",45.457404,-75.497574
Starbucks,"4510 Innes Road, Ottawa, ON K4A4C5",45.461805,-75.484392
Starbucks,"1375 Trim Road, Ottawa, ON K4A 3P7",45.489687000000004,-75.478144
Starbucks,"5150 Innes Road, FS15, Orleans, ON K4A 3N4",45.470011,-75.454795
Starbucks,"3000 Wellington Road, Kemptville, ON K0G 1J0",45.030333,-75.634758
Starbucks,"123 Lombard Street, Smiths Falls, ON K7A 5B8",44.890498,-76.031403
Starbucks,"625 rue Principale, Casselman, ON K0A 1M0",45.29956,-75.079287
Starbucks,"1238 Brookdale Avenue, Cornwall, ON K6J 4P6",45.028234,-74.753047
Starbucks,"9069 County Road 17, Rockland, ON K4K 0B2",45.544157,-75.303921
