name,cost_center,ccs,address,city,latitude,longitude,franchise,store_brand,display_brand,op_status,division_name,distance,country,url,services,franchise_brand
1031,1031,0,1000 BOUL. CURÉ LABELLE,BLAINVILLE,45.6751188,-73.8819054,0,Couche-Tard,Couche-Tard,Open,quebec,89.05201130999953,CA,/store-locator/CA/blainville/1000-boul-cure-labelle/1031,"diesel, public_restrooms, atm, redbull_shop, ca_coffee",NA
52544,52544,1,1185 Division ST,KINGSTON,44.2660102,-76.498101,0,Circle K,Circle K,Open,ontario,89.26791795512909,Canada,/store-ontario/Canada/kingston/1185-division-st/52544,"car_wash, gas, diesel, atm, redbull_shop",NA
285,285,0,4500 Boul Saint-Jean,DOLLARD-DES-ORMEAUX,45.4848008,-73.847011,0,Couche-Tard,Couche-Tard,Open,quebec,89.39934533958026,CA,/store-locator/CA/dollard-des-ormeaux/4500-boul-saint-jean/285,"public_restrooms, atm, sloche, redbull_shop",NA
1074,1074,0,99 AV. ELM,BEACONSFIELD,45.435863,-73.8462069,0,Couche-Tard,Couche-Tard,Open,quebec,89.41298537526126,CA,/store-locator/CA/beaconsfield/99-av-elm/1074,"public_restrooms, atm, redbull_shop, ca_coffee",NA
123,123,0,505 CH. DE LA GRANDE-COTE,SAINT-EUSTACHE,45.5864356,-73.8511905,0,Couche-Tard,Couche-Tard,Open,quebec,89.6590028319884,CA,/store-locator/CA/saint-eustache/505-ch-de-la-grande-cote/123,"public_restrooms, atm, redbull_shop, ca_coffee",NA
1223,1223,0,"4032, BOULEVARD ST-JEAN",DOLLARD-DES-ORMEAUX,45.4766908,-73.8390596,0,Couche-Tard,Couche-Tard,Open,quebec,89.77123704894993,CA,/store-locator/CA/dollard-des-ormeaux/4032-boulevard-st-jean/1223,"car_wash, diesel, public_restrooms, atm, dhl, ca_coffee",NA
278,278,0,4061 BOUL. SAINT-JEAN,DOLLARD-DES-ORMEAUX,45.4773455,-73.8383209,0,Couche-Tard,Couche-Tard,Open,quebec,89.80790704360717,CA,/store-locator/CA/dollard-des-ormeaux/4061-boul-saint-jean/278,ca_coffee,NA
150,150,0,603 BOUL. DU CURE-LABELLE,BLAINVILLE,45.6586111,-73.8574301,0,Couche-Tard,Couche-Tard,Open,quebec,90.02147264629922,CA,/store-locator/CA/blainville/603-boul-du-cure-labelle/150,"public_restrooms, atm, ca_coffee",NA
1812,1812,1,967 Sir John-a-Macdonald Blvd,KINGSTON,44.2582985,-76.5183309,0,Circle K,Circle K,Open,ontario,90.19762839651894,Canada,/store-ontario/Canada/kingston/967-sir-john-a-macdonald-blvd/1812,"car_wash, gas, diesel, atm, coffee, redbull_shop",NA
537,537,1,83 Aberfoyle Road,KINGSTON,44.2585458,-76.5218897,0,MACS,Mac's,Open,ontario,90.26253284512914,Canada,/store-ontario/Canada/kingston/83-aberfoyle-road/537,"atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA
