Category1,Category2,Category3,Chain,Update date,Name,address,Y,X,NEMS Code,Note,NBID,NB_name
food,restaurant,regular,0,20180710,Thanjai Restaurant,"108 Third Avenue, Ottawa, ON K1S",45.4030767,-75.6876111,,,923,Glebe - Dows Lake
nightlife,nightlife,nightlife,0,20180706,The 27 Club,"27 York St, Ottawa, ON K1N 5S7",45.4280614,-75.6940584,,,908,Byward Market
food,restaurant,regular,0,20180706,THE ALBION ROOMS,33 NICHOLAS STREET,45.42602921,-75.6894989,,,949,Sandy Hill
food,restaurant,nightlife,0,201806,The Albion Rooms - Craft Cocktails & Farm to Table Food,"33 Nicholas St, Ottawa, ON K1N 9M7",45.425818,-75.6895332,,,949,Sandy Hill
food,restaurant,regular,0,20180706,THE ALLEY CAFE,100 WALTER BAKER PLACE,45.29441452,-75.9018631,,,929,Katimavik - Hazeldean
food,restaurant,nightlife,0,201806,The Arrow & Loon Pub,"99 Fifth Ave, Ottawa, ON K1S 2M3",45.402136,-75.6872885,,,923,Glebe - Dows Lake
food,restaurant,nightlife,0,20180710,The Art House Cafe,"555 Somerset Street West, Ottawa, ON K1R 5K1",45.4129998,-75.7023981,,,24,Centretown
food,restaurant,nightlife,0,201806,The Aulde Dubliner,"62 William Street, Ottawa, ON K1N 7A3, Canada",45.426787,-75.691468,,,908,Byward Market
food,specialty,bakery,0,20180706,THE BAKERY,250 Greenbank Rd,45.32438278,-75.77938843,,,100,Trend-Arlington
food,restaurant,nightlife,0,20180710,The Belmont,"1169 Bank Street, Ottawa, ON K1S 3X7",45.3924713,-75.6818849,,,83,Old Ottawa South
food,restaurant,nightlife,0,201806,THE BERRYMAN PUB,"478 Bank St, Ottawa, ON K2P 1Z3",45.4109294,-75.693085,,,24,Centretown
food,restaurant,nightlife,0,20180710,The Bier Markt,"156 Sparks St, Ottawa, ON K1P 5C1",45.4216948,-75.6996684,,,24,Centretown
food,restaurant,regular,0,20180706,THE BIG H RESTAURANT,3210-1A SWANSEA CRESCENT,45.3818512,-75.60585022,,,917,East Industrial
